timestamp,x,y,z,vx,vy,vz,ax,ay,az,roll,pitch,yaw,roll_rate,pitch_rate,yaw_rate
1733312872053918,0.18526368,0.10396873,-9.631175,0.008520077,0.01018297,0.17517415,-0.09220454,0.058608245,1.9261277,0.9225009517338467,-0.6098924487718781,87.54190912805055,29.173744148294475,-11.40675683545791,-64.5155530470209
1733312872061918,0.18592083,0.10384482,-9.629985,0.007525298,0.010778737,0.19060564,-0.12434739,0.07447088,1.9289366,1.1719832695129666,-0.6976900097058653,86.98018624531827,31.185289722389992,-10.974695116748398,-70.21536034153554
1733312872069918,0.1865564,0.10373053,-9.628663,0.00627554,0.011501014,0.2060189,-0.15621969,0.090284616,1.9266567,1.4376109923025053,-0.7815690609301008,86.3729922548402,33.203465348692326,-10.484881403029439,-75.8992488097584
1733312872085918,0.18776053,0.10351879,-9.625625,0.0028675497,0.01332597,0.23688681,-0.2129994,0.11405971,1.9292449,2.0173906323811437,-0.9356697151177386,85.02369056332529,36.2362275049149,-9.631290886727358,-84.33135571968144
1733312872093918,0.18832171,0.10343139,-9.623909,0.00069721567,0.014441844,0.2523532,-0.27129176,0.13948429,1.933297,2.3313633759961796,-1.0050073633725274,84.28172043383711,39.24659295187947,-8.667206031848616,-92.7462661860235
1733312872101918,0.1888526,0.10335775,-9.622062,-0.0017886866,0.015709152,0.26785737,-0.31073776,0.15841354,1.9380226,2.661448687898561,-1.0687129403162927,83.49470694851392,41.260663987797656,-7.963197117970667,-98.37668566539713
1733312872109918,0.18938349,0.10365696,-9.620156,-0.004616006,0.01729147,0.28341562,-0.3534149,0.19778962,1.9447802,3.0075092217027763,-1.1263210025032953,82.66289072665211,43.25756672552693,-7.201007773375314,-103.97702773272782
1733312872125918,0.19033466,0.104281895,-9.615943,-0.011346506,0.020941664,0.31461737,-0.42065623,0.22813712,1.9501092,3.7474285978015143,-1.2213209195809225,80.86522619246344,46.24496100617114,-5.937494817351699,-112.35403338679151
1733312872133918,0.19074966,0.10461059,-9.613636,-0.015259916,0.023019487,0.33025914,-0.4891762,0.25972793,1.9552222,4.140982305217482,-1.2572810997747008,79.8994657306041,49.19421342699588,-4.495022524222286,-120.72005773241635
1733312872141918,0.19112056,0.10495228,-9.611195,-0.01957373,0.02529595,0.3459273,-0.53922665,0.2845579,1.9585191,4.550101160574811,-1.2849969308646154,78.88926970141767,51.13985691966619,-3.464478886239343,-126.2745036483045
1733312872149918,0.19144656,0.10530557,-9.60862,-0.024273925,0.027759986,0.36163557,-0.58752435,0.30800444,1.9635334,4.974451372625659,-1.3038838087274665,77.83478620981366,53.043776506356025,-2.360859732856375,-131.81043645050175
1733312872165918,0.19194569,0.10606347,-9.603097,-0.034868058,0.03332144,0.39316264,-0.6621333,0.34759086,1.9704419,5.868349412994257,-1.31273206414447,75.59453646561612,55.868627523037375,-0.55301596356271,-140.0156090123469
1733312872173918,0.1921127,0.10647191,-9.600149,-0.040788095,0.036443416,0.4090025,-0.74000466,0.39024696,1.9799843,6.3371809205003515,-1.3014672181811122,74.40855336898922,58.6039384382618,1.4081057454197112,-148.2478870783611
